DateTime,Latitude,Longitude
2020-07-23 17:02:59.125000+00:00,43.44786,-79.742775
2020-07-23 17:03:00.125000+00:00,43.44791,-79.74272
2020-07-23 17:03:01.188000+00:00,43.447937,-79.74267
2020-07-23 17:03:02.063000+00:00,43.447937,-79.74267
2020-07-23 17:03:03.063000+00:00,43.447937,-79.74267
2020-07-23 17:03:04.063000+00:00,43.447937,-79.74267
2020-07-23 17:03:05.125000+00:00,43.44796,-79.742645
2020-07-23 17:03:06.125000+00:00,43.447987,-79.742615
2020-07-23 17:03:07.125000+00:00,43.448013,-79.74259
2020-07-23 17:03:08.125000+00:00,43.44804,-79.74257
2020-07-23 17:03:09.125000+00:00,43.44809,-79.742516
2020-07-23 17:03:10.125000+00:00,43.44814,-79.74246
2020-07-23 17:03:11.188000+00:00,43.44822,-79.742386
2020-07-23 17:03:12.125000+00:00,43.44827,-79.74231
2020-07-23 17:03:13.125000+00:00,43.448345,-79.74223
2020-07-23 17:03:14.125000+00:00,43.44842,-79.74216
2020-07-23 17:03:15.125000+00:00,43.448498,-79.74208
2020-07-23 17:03:16.125000+00:00,43.448578,-79.742004
2020-07-23 17:03:17.125000+00:00,43.448677,-79.7419
2020-07-23 17:03:18.125000+00:00,43.448753,-79.7418
2020-07-23 17:03:19.125000+00:00,43.448833,-79.7417
2020-07-23 17:03:20.125000+00:00,43.44891,-79.74159
2020-07-23 17:03:21.188000+00:00,43.449013,-79.74149
2020-07-23 17:03:22.125000+00:00,43.44909,-79.74136
2020-07-23 17:03:23.125000+00:00,43.449192,-79.741264
2020-07-23 17:03:24.125000+00:00,43.44927,-79.741135
2020-07-23 17:03:25.125000+00:00,43.44937,-79.741005
2020-07-23 17:03:26.125000+00:00,43.449448,-79.740875
2020-07-23 17:03:27.125000+00:00,43.44955,-79.740746
2020-07-23 17:03:28.125000+00:00,43.449627,-79.74065
2020-07-23 17:03:29.125000+00:00,43.449726,-79.74052
2020-07-23 17:03:30.125000+00:00,43.449806,-79.74039
2020-07-23 17:03:31.188000+00:00,43.449883,-79.74029
2020-07-23 17:03:32.125000+00:00,43.44996,-79.74019
2020-07-23 17:03:33.125000+00:00,43.45006,-79.74008
2020-07-23 17:03:34.125000+00:00,43.45011,-79.73998
2020-07-23 17:03:35.125000+00:00,43.450188,-79.73993
2020-07-23 17:03:36.125000+00:00,43.45024,-79.73985
2020-07-23 17:03:37.125000+00:00,43.450264,-79.73983
2020-07-23 17:03:38.063000+00:00,43.45029,-79.73983
2020-07-23 17:03:39.125000+00:00,43.45029,-79.73983
2020-07-23 17:03:40.063000+00:00,43.45029,-79.7398
2020-07-23 17:03:41.188000+00:00,43.45029,-79.7398
2020-07-23 17:03:42.125000+00:00,43.450317,-79.73975
2020-07-23 17:03:43.125000+00:00,43.450317,-79.73972
2020-07-23 17:03:44.125000+00:00,43.45029,-79.73965
2020-07-23 17:03:45.125000+00:00,43.450264,-79.73959
2020-07-23 17:03:46.125000+00:00,43.450214,-79.73955
2020-07-23 17:03:47.125000+00:00,43.450188,-79.73947
2020-07-23 17:03:48.125000+00:00,43.45011,-79.739365
2020-07-23 17:03:49.125000+00:00,43.45006,-79.73929
2020-07-23 17:03:50.125000+00:00,43.449986,-79.73919
2020-07-23 17:03:51.188000+00:00,43.449932,-79.73911
2020-07-23 17:03:52.125000+00:00,43.449856,-79.739006
2020-07-23 17:03:53.125000+00:00,43.44978,-79.73891
2020-07-23 17:03:54.125000+00:00,43.449703,-79.7388
2020-07-23 17:03:55.125000+00:00,43.449627,-79.7387
2020-07-23 17:03:56.125000+00:00,43.44955,-79.7386
2020-07-23 17:03:57.125000+00:00,43.449497,-79.738495
2020-07-23 17:03:58.125000+00:00,43.44942,-79.73842
2020-07-23 17:03:59.125000+00:00,43.449394,-79.738365
2020-07-23 17:04:00.125000+00:00,43.44937,-79.73832
2020-07-23 17:04:01.125000+00:00,43.44937,-79.73832
2020-07-23 17:04:02.125000+00:00,43.44937,-79.73832
2020-07-23 17:04:03.125000+00:00,43.44937,-79.73829
